"Unemployment Rate, Monthly",,,,,,,,,,,
Canada and Provinces,,,,,,,,,,,
Unadjusted,,,,,,,,,,,
(Percent),,,,,,,,,,,
,Newfoundland,Prince Edward,,,,,,,,British,
Date,Canada,,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,,
,and Labrador,Island,,,,,,,,Columbia,
Jan-16,7.6,17.4,12.6,9.8,11,8.4,6.8,6.3,6.2,7.7,6.9
Feb-16,7.8,16.8,13.5,10.4,11.5,8.3,6.9,6.2,6.8,8.5,7.2
Mar-16,7.7,15.8,13.4,10.2,12.1,8.4,7.2,6.1,7,7.8,6.6
Apr-16,7.5,15.2,15.2,9.3,11.7,8.3,7.1,6.3,7.1,8.1,5.5
May-16,7,11.6,9.2,8,9.8,7,6.6,5.9,5.9,8.2,6.2
Jun-16,6.5,10.5,7.4,7.2,8.9,6.5,6.2,5.6,5.6,7.7,5.5
Jul-16,7.2,11.7,8.7,8.2,9.6,7.1,7,6.9,6.3,9.1,5.8
Aug-16,7.6,12.2,9.6,8.5,8.7,7.5,7.6,7.4,6.8,9.2,6.2
Sep-16,6.5,12.2,8.1,7.1,7.6,6.3,6.3,6.1,6,7.6,5.6
Oct-16,6.3,14,9.9,6.9,8.6,6.1,5.9,5.8,6.1,7.5,5.9
Nov-16,6.4,15.3,11.7,7.6,8.1,5.8,5.7,5.6,6.4,8.5,6
Dec-16,6.5,15.8,11.5,7.9,9,6.5,5.7,5.7,6.3,8.2,5.6
Jan-17,7.2,17.2,12.2,8.9,9.9,7.1,6.5,6.2,7.1,8.8,6
Feb-17,7,17.2,11.9,9.4,10.2,7.1,6.4,5.9,6.5,8.6,5.6
Mar-17,7.3,18.1,12.3,10.1,9.7,7.1,6.8,5.5,6.9,8.9,5.6
Apr-17,6.8,16.6,12.8,9.4,10.3,7.2,6,5.4,7.2,8.5,5.2
May-17,6.6,14.7,8.5,7.9,8.3,5.8,6.6,5.1,6.4,8,5.6
Jun-17,6.1,12.8,7,8.1,6.8,5.7,6.2,4.7,5.9,7.3,4.6
Jul-17,6.6,13.9,9.3,7.9,6.6,5.9,6.6,5.6,6.7,8.4,5.4
Aug-17,6.9,14,7.4,9.1,7.6,6.6,6.4,6,7,9.2,5.4
Sep-17,5.7,13.2,7.5,8.2,6.4,5.4,5.4,5.3,5.3,7,4.7
Oct-17,5.7,12.9,9.4,7.9,7.1,5.5,5.5,4.5,5.2,6.8,4.7
Nov-17,5.5,14.8,9.9,8.5,8,4.9,5,5.1,5.7,7,4.7
Dec-17,5.4,15.7,10.6,7.5,7.4,4.8,5,5.3,6.4,6.6,4.4
Jan-18,6.3,17,13,9.1,10.4,6,5.8,6,6.2,7.2,5.2
Feb-18,6.2,16.6,12,9,9.4,6.4,5.6,6.2,6,6.8,5
Mar-18,6.3,17.3,12.7,8.7,9.4,6.2,6,6.4,6.5,6.7,4.8
